Taractrocera archias
Tarucus theophrastus
Tarucus venosus
Tarucus waterstradti
Telinga adolphei
Telinga inopia
Terinos atlita
Thaumantis noureddin
Thecla cleon
Thecla duma
Thoressa fusca
Thoressa hyrie
Troides cuneifera
Udara akasa
Udara camenae
Unkana ambasa
Vanessa caschmirensis
Ypthima avanta
Ypthima chenu
Ypthima dohertyi
Ypthima lisandra
Ypthima methora
Ypthima newara
Ypthima pandocus
Ypthima philomela
Zinaspa todara
Zintha hintza
Zizeeria ossa
